주문ID,고객명,주문일자,카테고리,상품명,주문수량,개당가격,주문금액,도시,국가,결제방식
ORD-1001,임다은,2026-04-23,전자,웹캠,1,42000.0,42000.0,창원,한국,계좌이체
ORD-1002,조현우,2026-04-03,생활,수납박스,1,12000.0,12000.0,수원,한국,현금
ORD-1003,김하율,2026-04-25,사무,파일케이스,1,4500.0,4500.0,대전,한국,카드
ORD-1004,문태양,2026-04-15,주방,도시락통,4,9000.0,36000.0,서울,한국,간편결제
ORD-1005,김하율,2026-04-30,생활,스탠드,1,22000.0,22000.0,대구,한국,간편결제
ORD-1006,김하율,2026-04-23,생활,스탠드,4,22000.0,88000.0,대전,한국,미확인
ORD-1007,이도겸,2026-04-19,전자,키보드,1,35000.0,35000.0,인천,한국,계좌이체
ORD-1008,이서연,2026-04-24,전자,USB케이블,3,5000.0,15000.0,창원,한국,카드
ORD-1010,한지민,2026-04-06,생활,스탠드,4,22000.0,88000.0,대구,한국,카드
ORD-1011,김민수,2026-04-01,생활,멀티탭,3,18000.0,54000.0,부산,한국,카드
ORD-1012,한지민,2026-04-20,전자,무선이어폰,2,59000.0,118000.0,미확인,한국,카드
ORD-1013,이서연,2026-04-30,전자,웹캠,2,42000.0,84000.0,광주,한국,카드
ORD-1014,정하늘,2026-04-23,전자,USB케이블,1,5000.0,5000.0,인천,한국,현금
ORD-1015,정하늘,2026-04-21,주방,머그컵,1,7000.0,7000.0,울산,한국,현금
ORD-1016,이서연,2026-04-08,전자,USB케이블,1,5000.0,5000.0,전주,한국,계좌이체
ORD-1017,임다은,2026-04-26,사무,노트,3,3000.0,9000.0,대구,한국,카드
ORD-1018,최유진,2026-04-02,생활,멀티탭,1,18000.0,18000.0,전주,한국,현금
ORD-1019,이도겸,2026-04-14,생활,스탠드,1,22000.0,0.0,전주,한국,계좌이체
ORD-1020,남도윤,2026-04-26,사무,파일케이스,2,4500.0,9000.0,서울,한국,카드
ORD-1021,남도윤,2026-04-17,전자,키보드,1,35000.0,35000.0,창원,한국,카드
ORD-1022,강소라,2026-04-01,생활,멀티탭,1,18000.0,18000.0,서울,한국,카드
ORD-1023,서지우,2026-04-16,주방,도시락통,5,9000.0,45000.0,울산,한국,계좌이체
ORD-1024,윤도현,2026-04-28,사무,펜세트,2,6000.0,12000.0,울산,한국,간편결제
ORD-1025,배수지,2026-04-10,사무,펜세트,4,0.0,24000.0,인천,한국,카드
ORD-1026,권민재,2026-04-25,전자,마우스,5,15000.0,75000.0,창원,한국,계좌이체
ORD-1027,문태양,2026-04-02,전자,마우스,5,15000.0,75000.0,광주,한국,현금
ORD-1028,유서준,2026-04-15,주방,텀블러,5,16000.0,80000.0,광주,한국,현금
ORD-1029,이서연,2026-04-26,생활,노트북거치대,1,28000.0,28000.0,울산,한국,계좌이체
ORD-1030,최유진,2026-04-09,사무,파일케이스,4,4500.0,18000.0,수원,한국,계좌이체
ORD-1031,오준호,2026-04-11,생활,노트북거치대,5,28000.0,140000.0,울산,한국,계좌이체
ORD-1032,한지민,2026-04-08,미분류,노트북거치대,1,28000.0,28000.0,인천,한국,카드
ORD-1033,홍지아,2026-04-24,생활,노트북거치대,3,28000.0,84000.0,대구,한국,간편결제
ORD-1034,정하늘,2026-04-29,사무,파일케이스,1,4500.0,4500.0,창원,한국,현금
ORD-1035,오준호,2026-04-04,사무,파일케이스,4,4500.0,18000.0,울산,한국,계좌이체
ORD-1036,박서진,2026-04-27,전자,USB케이블,3,5000.0,15000.0,인천,한국,간편결제
ORD-1037,권민재,2026-04-03,사무,펜세트,1,6000.0,6000.0,인천,한국,계좌이체
ORD-1039,윤도현,2026-04-11,사무,노트,3,3000.0,9000.0,대구,한국,간편결제
ORD-1040,최유진,2026-04-10,전자,무선이어폰,4,59000.0,236000.0,인천,한국,현금
ORD-1041,윤도현,2026-04-09,사무,노트,2,3000.0,6000.0,부산,한국,계좌이체
ORD-1042,김민수,2026-04-30,주방,물병,3,12000.0,36000.0,부산,한국,카드
ORD-1043,박서진,2026-04-03,사무,노트,5,3000.0,15000.0,인천,한국,미확인
ORD-1044,배수지,2026-04-16,주방,물병,1,12000.0,12000.0,대전,한국,간편결제
ORD-1045,조현우,2026-04-10,전자,웹캠,5,42000.0,210000.0,인천,한국,간편결제
ORD-1046,한지민,2026-04-13,전자,무선이어폰,2,59000.0,118000.0,대전,한국,현금
ORD-1047,문태양,2026-04-08,전자,키보드,1,35000.0,35000.0,서울,한국,카드
ORD-1048,최유진,2026-04-30,전자,키보드,4,35000.0,140000.0,부산,한국,계좌이체
